YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2017-01,Polen,152,4,0,4,15,0,0,0,0,10,5,2,0,0,0,0,0,10,1,0,0,0,0,0,4,0
2017-01,Portugal,153,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-01,Rumaenien,154,0,0,0,4,0,0,0,0,1,3,9,2,0,0,0,0,1,2,0,0,0,0,0,0,1
2017-01,Slowakische Republik,155,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,Russische Foederation,160,517,396,121,1819,8,52,24,2,1097,636,7138,1171,8,41,21,2,1047,534,0,11,3,0,50,41,61
2017-01,Spanien,161,0,0,0,4,0,0,0,0,0,4,22,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2017-01,Tuerkei,163,610,580,30,314,2,12,5,1,169,125,7160,613,2,12,4,1,161,113,0,0,1,0,8,8,4
2017-01,Tschechische Republik,164,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,Ungarn,165,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,Ukraine,166,79,66,13,505,0,17,11,13,287,177,4151,119,0,17,11,13,285,166,0,0,0,0,2,2,9
2017-01,Grossbritannien mit Nordirland,168,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-01,Weissrussland,169,26,24,2,71,0,3,0,0,36,32,358,26,0,3,0,0,35,24,0,0,0,0,1,2,6
2017-01,Serbien,170,555,225,330,1023,0,0,0,1,536,486,1753,1302,0,0,0,1,471,108,0,0,0,0,65,329,49
2017-01,sonst. europ. Staatsangeh.,199,1,1,0,1,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-01,Algerien,221,243,218,25,407,0,4,4,5,196,198,1495,158,0,4,4,5,194,178,0,0,0,0,2,10,10
2017-01,Angola,223,43,42,1,24,0,1,5,8,9,1,271,7,0,1,5,8,9,1,0,0,0,0,0,0,0
2017-01,Eritrea,224,966,958,8,2210,6,1017,608,64,48,467,12084,201,6,1016,607,63,48,456,0,1,1,1,0,6,5
2017-01,Aethiopien,225,183,177,6,543,2,65,15,27,152,282,6109,87,2,65,15,27,152,278,0,0,0,0,0,0,4
2017-01,Botsuana,227,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,Benin,229,23,22,1,99,0,0,1,5,78,15,376,15,0,0,1,5,77,12,0,0,0,0,1,2,1
2017-01,Dschibuti,230,0,0,0,3,0,2,0,0,0,1,28,2,0,2,0,0,0,1,0,0,0,0,0,0,0
2017-01,Elfenbeinkueste (Cote d Ivoire),231,173,171,2,144,0,7,1,3,39,94,1688,24,0,7,1,3,38,92,0,0,0,0,1,2,0
2017-01,Nigeria,232,688,674,14,1401,5,54,19,82,589,652,17700,358,5,54,18,81,588,633,0,0,1,1,1,10,9
2017-01,Simbabwe,233,36,36,0,23,6,0,0,0,7,10,228,0,6,0,0,0,7,9,0,0,0,0,0,0,1
2017-01,Gabun,236,4,4,0,1,0,0,0,0,0,1,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-01,Gambia,237,347,341,6,525,1,10,4,6,227,277,8912,243,1,10,4,6,224,268,0,0,0,0,3,6,3
2017-01,Ghana,238,78,76,2,631,0,7,0,11,437,176,2094,52,0,7,0,11,432,167,0,0,0,0,5,4,5
2017-01,Mauretanien,239,10,7,3,32,0,6,0,0,18,8,90,7,0,6,0,0,17,4,0,0,0,0,1,1,3
2017-01,Cabo Verde,242,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,Kenia,243,19,19,0,34,0,1,0,2,22,9,166,9,0,1,0,2,22,5,0,0,0,0,0,3,1
2017-01,Komoren,244,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,Kongo,245,3,2,1,13,0,0,0,0,7,6,196,6,0,0,0,0,7,6,0,0,0,0,0,0,0
2017-01,"Kongo, Dem. Republik",246,21,21,0,61,3,20,1,1,14,22,568,59,3,20,1,0,14,20,0,0,0,1,0,2,0
2017-01,Liberia,247,27,27,0,11,0,0,0,0,3,8,217,12,0,0,0,0,3,7,0,0,0,0,0,0,1
2017-01,Libyen,248,103,101,2,263,7,24,8,14,120,90,972,46,4,23,8,14,119,86,3,1,0,0,1,0,4
2017-01,Mali,251,70,68,2,132,0,2,1,0,43,86,1313,52,0,2,1,0,43,84,0,0,0,0,0,0,2
2017-01,Marokko,252,203,178,25,444,1,5,6,5,247,180,1458,98,1,5,6,3,245,151,0,0,0,2,2,19,10
2017-01,Mauritius,253,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,Mosambik,254,1,1,0,1,0,0,0,0,0,1,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-01,Niger,255,19,17,2,27,0,0,0,1,16,10,152,12,0,0,0,1,16,9,0,0,0,0,0,0,1
2017-01,Malawi,256,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,Sambia,257,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,Burkina-Faso,258,33,33,0,83,0,3,1,0,49,30,240,10,0,3,1,0,49,29,0,0,0,0,0,1,0
2017-01,Guinea-Bissau,259,26,25,1,90,0,0,1,6,45,38,289,17,0,0,1,6,45,37,0,0,0,0,0,0,1
2017-01,Guinea,261,419,410,9,696,2,29,6,16,203,440,4257,124,2,29,6,15,199,431,0,0,0,1,4,2,7
2017-01,Kamerun,262,128,127,1,183,0,0,0,0,69,114,2067,68,0,0,0,0,68,107,0,0,0,0,1,5,2
2017-01,Suedafrika,263,0,0,0,2,0,0,0,0,0,2,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2017-01,Ruanda,265,1,1,0,1,0,0,0,0,0,1,100,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-01,Namibia,267,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,Sao Tome  und Principe,268,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,Senegal,269,34,28,6,289,0,9,2,1,194,83,899,78,0,9,2,1,193,75,0,0,0,0,1,4,4
2017-01,Sierra Leone,272,147,147,0,98,0,4,0,8,28,58,1359,39,0,4,0,8,27,56,0,0,0,0,1,1,1
2017-01,Somalia,273,617,584,33,1894,3,508,402,327,228,426,12118,503,3,508,402,315,225,395,0,0,0,12,3,11,20
2017-01,Aequatorialguinea,274,1,1,0,3,0,0,0,0,1,2,14,1,0,0,0,0,1,2,0,0,0,0,0,0,0
2017-01,Sudan (ohne Suedsudan),277,71,67,4,215,2,20,9,1,24,159,2691,70,2,20,9,1,24,154,0,0,0,0,0,2,3
2017-01,Suedsudan,278,6,6,0,11,0,0,0,0,3,8,118,8,0,0,0,0,3,8,0,0,0,0,0,0,0
2017-01,Tansania,282,3,3,0,5,0,0,0,0,2,3,148,8,0,0,0,0,2,2,0,0,0,0,0,0,1
2017-01,Togo,283,42,40,2,13,0,0,0,0,8,5,772,38,0,0,0,0,7,5,0,0,0,0,1,0,0
2017-01,Tschad,284,9,9,0,25,0,0,0,2,4,19,149,8,0,0,0,2,4,14,0,0,0,0,0,5,0
2017-01,Tunesien,285,39,29,10,131,0,3,1,1,77,49,376,51,0,3,1,1,77,31,0,0,0,0,0,7,11
2017-01,Uganda,286,6,6,0,4,1,0,0,0,1,2,264,9,1,0,0,0,1,2,0,0,0,0,0,0,0
2017-01,Aegypten,287,76,64,12,354,11,24,12,8,206,93,1604,97,11,24,12,7,203,85,0,0,0,1,3,4,4
2017-01,Zentralafrikanische Republik,289,4,4,0,9,0,0,1,0,3,5,80,6,0,0,1,0,3,5,0,0,0,0,0,0,0
2017-01,Burundi,291,2,2,0,4,0,1,3,0,0,0,46,0,0,1,3,0,0,0,0,0,0,0,0,0,0
2017-01,sonst. afrik. Staatsangeh.,299,3,2,1,57,0,1,2,7,42,5,145,14,0,1,2,7,38,2,0,0,0,0,4,0,3
2017-01,Argentinien,323,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,Brasilien,327,2,2,0,1,0,0,0,0,1,0,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017-01,Chile,332,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017-01,Dominikanische Republik,335,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,Ecuador,336,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,El Salvador,337,1,1,0,1,0,0,0,0,0,1,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-01,Guatemala,345,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,Haiti,346,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017-01,Honduras,347,4,4,0,7,5,0,1,0,0,1,6,0,5,0,0,0,0,0,0,0,1,0,0,1,0
2017-01,Kanada,348,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,Kolumbien,349,4,4,0,6,0,1,0,0,4,1,62,0,0,1,0,0,4,1,0,0,0,0,0,0,0
2017-01,Kuba,351,10,10,0,14,0,0,0,0,7,7,168,2,0,0,0,0,7,7,0,0,0,0,0,0,0
2017-01,Mexico,353,1,1,0,1,0,1,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01,Nicaragua,354,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2017-01,Jamaica,355,6,6,0,8,0,2,0,0,3,3,41,1,0,2,0,0,3,3,0,0,0,0,0,0,0
2017-01,Paraguay,359,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,Peru,361,1,1,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,Suriname,364,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,Uruguay,365,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,Venezuela,367,8,8,0,27,1,4,0,0,19,3,67,1,1,4,0,0,19,3,0,0,0,0,0,0,0
2017-01,Vereinigte Staaten v. Amerika,368,3,3,0,2,0,0,0,0,1,1,21,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2017-01,Trinidad und Tobago,371,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,Jemen,421,17,17,0,83,3,8,50,2,0,20,661,33,3,8,50,1,0,17,0,0,0,1,0,2,1
2017-01,Armenien,422,624,602,22,798,0,22,12,24,548,192,6720,362,0,22,12,20,539,159,0,0,0,4,9,16,17
2017-01,Afghanistan,423,1556,1442,114,14107,6,2461,902,3012,6658,1068,89569,1317,6,2444,899,2989,6641,985,0,17,3,23,17,57,26
2017-01,Bahrain,424,3,3,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01,Aserbaidschan,425,494,474,20,642,4,44,19,14,345,216,4573,314,4,44,19,14,336,193,0,0,0,0,9,14,9
2017-01,Bhutan,426,1,1,0,1,0,0,0,0,0,1,9,3,0,0,0,0,0,1,0,0,0,0,0,0,0
2017-01,Myanmar,427,9,8,1,49,0,19,18,0,1,11,194,7,0,19,18,0,1,11,0,0,0,0,0,0,0
2017-01,Georgien,430,204,187,17,669,0,2,0,5,400,262,2834,335,0,2,0,5,384,198,0,0,0,0,16,26,38
2017-01,Sri Lanka,431,60,55,5,45,1,3,1,3,20,17,1143,181,1,3,1,3,20,12,0,0,0,0,0,5,0
2017-01,Vietnam,432,37,35,2,222,0,4,0,4,135,79,211,40,0,4,0,4,132,74,0,0,0,0,3,1,4
2017-01,Korea (Demokrat. Volksrepubl.),434,2,2,0,4,0,0,0,0,0,4,128,3,0,0,0,0,0,4,0,0,0,0,0,0,0
2017-01,Indien,436,150,143,7,904,0,5,4,4,669,222,1695,70,0,5,4,4,669,215,0,0,0,0,0,6,1
2017-01,Indonesien,437,0,0,0,2,0,0,0,0,2,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2017-01,Irak,438,1312,1245,67,10312,31,4721,1746,159,2845,810,43620,1393,31,4685,1724,143,2812,723,0,36,22,16,33,41,46
2017-01,"Iran, Islamische Republik",439,926,888,38,3999,66,1995,98,46,1431,363,20412,607,66,1975,98,37,1422,337,0,20,0,9,9,19,7
2017-01,Israel,441,2,2,0,2,0,0,0,0,1,1,44,6,0,0,0,0,1,1,0,0,0,0,0,0,0
2017-01,Japan,442,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017-01,Kasachstan,444,15,14,1,37,0,1,0,0,23,13,122,30,0,0,0,0,23,5,0,1,0,0,0,4,4
2017-01,Jordanien,445,13,11,2,29,0,3,5,0,14,7,279,27,0,3,5,0,14,7,0,0,0,0,0,0,0
