"Ägypten",287,63,57,6,58,2,5,2,1,17,31,317,40,2,4,2,1,16,23,-,1,-,-,1,6,2
Zentralafrikanische Republik,289,-,-,-,4,-,-,-,-,3,1,3,1,-,-,-,-,3,1,-,-,-,-,-,-,-
Burundi,291,3,3,-,4,2,-,-,-,2,-,11,1,2,-,-,-,2,-,-,-,-,-,-,-,-
Afrika,2.508,2.162,346,3.276,24,449,137,143,1.081,1.442,9.661,1.240,23,432,134,116,1.032,963,1,17,3,27,49,205,274,
Argentinien,323,-,-,-,1,-,-,-,-,1,-,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Bolivien,326,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Brasilien,327,6,6,-,2,-,-,-,-,1,1,16,-,-,-,-,-,1,1,-,-,-,-,-,-,-
Guyana,328,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chile,332,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Costa Rica,334,1,1,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dominikanische Republik,335,1,1,-,1,-,-,-,-,1,-,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Ecuador,336,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
El Salvador,337,4,4,-,4,-,-,4,-,-,-,32,-,-,-,4,-,-,-,-,-,-,-,-,-,-
Guatemala,345,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Haiti,346,-,-,-,7,-,-,-,-,7,-,3,-,-,-,-,-,7,-,-,-,-,-,-,-,-
Honduras,347,3,3,-,2,-,-,-,-,2,-,33,-,-,-,-,-,2,-,-,-,-,-,-,-,-
Kanada,348,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kolumbien,349,138,138,-,41,-,-,-,-,38,3,372,1,-,-,-,-,38,-,-,-,-,-,-,3,-
Kuba,351,4,3,1,9,-,-,-,-,7,2,8,6,-,-,-,-,7,-,-,-,-,-,-,-,2
Mexiko,353,2,2,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nicaragua,354,9,9,-,13,-,-,-,-,13,-,46,-,-,-,-,-,13,-,-,-,-,-,-,-,-
Jamaika,355,4,4,-,5,-,-,-,-,5,-,13,-,-,-,-,-,5,-,-,-,-,-,-,-,-
Paraguay,359,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peru,361,3,3,-,-,-,-,-,-,-,-,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Venezuela,367,136,136,-,100,21,7,-,36,36,-,679,5,21,7,-,36,36,-,-,-,-,-,-,-,-
Vereinigte Staaten v. Amerika,368,7,7,-,2,-,-,-,-,2,-,17,1,-,-,-,-,2,-,-,-,-,-,-,-,-
Trinidad und Tobago,371,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amerika,318,317,1,188,21,7,4,36,114,6,1.260,15,21,7,4,36,114,1,-,-,-,-,-,3,2,
China (Hongkong),411,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jemen,421,72,72,-,64,2,9,40,2,2,9,391,4,2,9,40,-,2,8,-,-,-,2,-,1,-
Armenien,422,96,80,16,106,-,-,-,3,66,37,289,46,-,-,-,3,58,23,-,-,-,-,8,3,11
Afghanistan,423,980,881,99,931,9,117,41,228,219,317,3.977,454,8,111,39,186,215,165,1,6,2,42,4,78,74
Bahrain,424,1,1,-,1,-,-,-,-,1,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-
