YEAR_MONTH,Herkunftsland,LS,,ASYLANTRÄGE insgesamt,ASYLANTRÄGE davon Erstanträge,ASYLANTRÄGE davon Folgeanträge,ENTSCHEIDUNGEN über Asylanträge insgesamt,ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen,ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen,ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren,ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
201507,Somalia,273,"",501,487,14,173,0,31,13,12,14,103,8159,281,0,30,13,10,14,91,0,1,0,2,0,2,10
201507,Äquatorialguinea,274,"",0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Sudan (ohne Südsudan),277,"",183,179,4,35,0,3,1,1,5,25,939,34,0,1,1,0,4,23,0,2,0,1,1,0,2
201507,Südsudan,278,"",10,10,0,2,0,0,0,0,0,2,43,5,0,0,0,0,0,2,0,0,0,0,0,0,0
201507,Tansania,282,"",2,2,0,2,0,0,0,1,0,1,75,2,0,0,0,1,0,1,0,0,0,0,0,0,0
201507,Togo,283,"",18,18,0,6,0,0,0,0,1,5,246,23,0,0,0,0,1,4,0,0,0,0,0,1,0
201507,Tschad,284,"",15,15,0,25,0,0,0,4,3,18,127,13,0,0,0,0,3,14,0,0,0,4,0,0,4
201507,Tunesien,285,"",67,58,9,38,0,0,0,0,20,18,741,111,0,0,0,0,18,16,0,0,0,0,2,1,1
201507,Uganda,286,"",6,6,0,0,0,0,0,0,0,0,152,9,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Ägypten,287,"",88,78,10,145,32,33,0,1,33,46,2782,61,32,33,0,0,33,39,0,0,0,1,0,0,7
201507,Zentralafrikanische Republik,289,"",7,7,0,3,0,0,0,0,0,3,53,1,0,0,0,0,0,3,0,0,0,0,0,0,0
201507,Burundi,291,"",1,0,1,2,0,0,0,2,0,0,6,1,0,0,0,2,0,0,0,0,0,0,0,0,0
201507,sonst. afrik. Staatsangeh.,299,"",9,9,0,9,0,0,0,2,7,0,67,11,0,0,0,2,7,0,0,0,0,0,0,0,0
201507,Argentinien,323,"",0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Brasilien,327,"",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Dominikanische Republik,335,"",1,1,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
201507,Ecuador,336,"",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,El Salvador,337,"",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Guatemala,345,"",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Haiti,346,"",3,2,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
201507,Honduras,347,"",6,6,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Kanada,348,"",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Kolumbien,349,"",0,0,0,4,0,0,0,0,4,0,39,2,0,0,0,0,4,0,0,0,0,0,0,0,0
201507,Kuba,351,"",20,20,0,1,0,0,0,0,0,1,131,2,0,0,0,0,0,1,0,0,0,0,0,0,0
201507,Mexico,353,"",0,0,0,1,0,0,0,1,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0
201507,Nicaragua,354,"",0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
201507,Jamaica,355,"",0,0,0,0,0,0,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Paraguay,359,"",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Peru,361,"",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Venezuela,367,"",0,0,0,0,0,0,0,0,0,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Vereinigte Staaten v. Amerika,368,"",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Trinidad und Tobago,371,"",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201507,Jemen,421,"",46,45,1,4,0,0,0,0,0,4,372,28,0,0,0,0,0,3,0,0,0,0,0,0,1
201507,Armenien,422,"",180,159,21,62,0,0,0,7,20,35,3452,247,0,0,0,6,19,28,0,0,0,1,1,1,6
201507,Afghanistan,423,"",2139,2104,35,477,4,95,27,58,56,237,19243,831,4,85,27,53,56,227,0,10,0,5,0,7,3
201507,Bahrain,424,"",1,1,0,5,4,0,0,0,0,1,11,1,4,0,0,0,0,1,0,0,0,0,0,0,0
201507,Aserbaidschan,425,"",129,107,22,42,0,0,1,3,16,22,2291,244,0,0,0,2,16,12,0,0,1,1,0,8,2
