Herkunftsland, LS, ,ASYLANTRÄGE insgesamt, ASYLANTRÄGE davon Erstanträge, ASYLANTRÄGE davon Folgeanträge, ENTSCHEIDUNGEN über Asylanträge insgesamt, ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl), ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen, ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen, ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen, ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl), ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen), ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl), ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren, ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
Komoren,244,"",1,1,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kongo,245,"",6,6,-,-,-,-,-,-,-,-,109,5,-,-,-,-,-,-,-,-,-,-,-,-,-
"Kongo, Dem. Republik",246,"",23,19,4,24,-,1,-,2,11,10,478,32,-,1,-,2,11,7,-,-,-,-,-,2,1
Liberia,247,"",6,6,-,4,-,-,-,-,-,4,84,9,-,-,-,-,-,4,-,-,-,-,-,-,-
Libyen,248,"",232,231,1,15,-,1,-,4,3,7,1.138,37,-,1,-,4,3,6,-,-,-,-,-,-,1
Mali,251,"",67,64,3,47,-,2,-,3,5,37,686,19,-,2,-,3,5,35,-,-,-,-,-,-,2
Marokko,252,"",187,175,12,70,-,-,2,1,27,40,1.828,90,-,-,2,1,27,32,-,-,-,-,-,2,6
Mosambik,254,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Niger,255,"",28,25,3,10,-,-,-,-,-,10,127,13,-,-,-,-,-,7,-,-,-,-,-,-,3
Malawi,256,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sambia,257,"",-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burkina-Faso,258,"",21,20,1,13,-,-,-,-,-,13,188,8,-,-,-,-,-,13,-,-,-,-,-,-,-
Guinea-Bissau,259,"",50,49,1,29,-,-,-,-,4,25,345,10,-,-,-,-,4,24,-,-,-,-,-,-,1
Guinea,261,"",122,107,15,32,-,4,-,1,3,24,2.111,81,-,4,-,1,3,20,-,-,-,-,-,1,3
Kamerun,262,"",110,104,6,70,-,-,1,1,4,64,771,39,-,-,1,1,4,62,-,-,-,-,-,1,1
Südafrika,263,"",4,4,-,1,-,-,-,-,-,1,11,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Ruanda,265,"",3,3,-,6,-,-,-,-,5,1,47,-,-,-,-,-,5,1,-,-,-,-,-,-,-
Namibia,267,"",-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Senegal,269,"",182,181,1,44,-,-,-,-,7,37,1.747,17,-,-,-,-,7,37,-,-,-,-,-,-,-
Sierra Leone,272,"",38,38,-,11,-,-,-,2,5,4,486,38,-,-,-,2,5,4,-,-,-,-,-,-,-
Somalia,273,"",625,590,35,230,-,45,18,13,20,134,7.790,270,-,38,18,5,19,123,-,7,-,8,1,-,11
Äquatorialguinea,274,"",1,1,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sudan (ohne Südsudan),277,"",119,115,4,48,-,3,4,3,3,35,787,34,-,3,4,-,3,31,-,-,-,3,-,-,4
Südsudan,278,"",5,5,-,3,-,-,-,-,-,3,36,5,-,-,-,-,-,3,-,-,-,-,-,-,-
Swasiland,281,"",-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Tansania,282,"",4,4,-,1,-,-,-,-,-,1,75,2,-,-,-,-,-,1,-,-,-,-,-,-,-
Togo,283,"",20,20,-,16,-,-,-,1,6,9,229,24,-,-,-,-,6,7,-,-,-,1,-,2,-
Tschad,284,"",4,3,1,4,-,-,-,-,1,3,124,17,-,-,-,-,1,2,-,-,-,-,-,-,1
Tunesien,285,"",200,192,8,40,-,-,-,1,11,28,705,104,-,-,-,1,11,19,-,-,-,-,-,-,9
Uganda,286,"",10,9,1,2,-,-,-,-,-,2,145,9,-,-,-,-,-,1,-,-,-,-,-,1,-
Ägypten,287,"",100,95,5,64,6,6,-,-,26,26,2.833,55,6,6,-,-,26,24,-,-,-,-,-,-,2
Zentralafrikanische Republik,289,"",2,2,-,1,-,-,-,-,-,1,50,1,-,-,-,-,-,1,-,-,-,-,-,-,-
Burundi,291,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sonst. afrik. Staatsangeh.,299,"",10,10,-,8,-,-,-,-,6,2,62,11,-,-,-,-,6,2,-,-,-,-,-,-,-
Afrika,"","",5.207,5.048,159,1.841,10,472,41,41,235,1.042,57.180,1.681,10,463,41,25,232,954,-,9,-,16,3,16,72
Argentinien,323,"",-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Brasilien,327,"",-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dominikanische Republik,335,"",1,1,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ecuador,336,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
El Salvador,337,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Guatemala,345,"",-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,347,"",-,-,-,3,-,-,3,-,-,-,3,1,-,-,3,-,-,-,-,-,-,-,-,-,-
Kolumbien,349,"",1,1,-,1,-,1,-,-,-,-,43,2,-,1,-,-,-,-,-,-,-,-,-,-,-
Kuba,351,"",9,9,-,1,-,-,-,-,-,1,112,2,-,-,-,-,-,1,-,-,-,-,-,-,-
Mexico,353,"",1,-,1,-,-,-,-,-,-,-,7,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Nicaragua,354,"",1,1,-,1,-,-,-,-,1,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Jamaica,355,"",2,2,-,1,-,-,-,-,-,1,28,1,-,-,-,-,-,1,-,-,-,-,-,-,-
Paraguay,359,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peru,361,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Venezuela,367,"",4,4,-,1,-,-,-,-,-,1,26,2,-,-,-,-,-,1,-,-,-,-,-,-,-
Vereinigte Staaten v. Amerika,368,"",1,1,-,1,-,-,-,-,-,1,15,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Trinidad und Tobago,371,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amerika,"","",20,19,1,9,-,1,3,-,1,4,282,12,-,1,3,-,1,4,-,-,-,-,-,-,-
Jemen,421,"",39,39,-,1,1,-,-,-,-,-,327,28,1,-,-,-,-,-,-,-,-,-,-,-,-
Armenien,422,"",240,225,15,54,-,1,-,3,25,25,3.337,225,-,1,-,2,24,18,-,-,-,1,1,6,1
Afghanistan,423,"",2.086,2.051,35,708,2,203,45,73,80,305,17.433,809,2,185,40,64,78,290,-,18,5,9,2,3,12
Bahrain,424,"",-,-,-,7,6,1,-,-,-,-,14,1,6,1,-,-,-,-,-,-,-,-,-,-,-
Aserbaidschan,425,"",163,155,8,25,3,-,4,-,9,9,2.212,230,3,-,4,-,9,5,-,-,-,-,-,2,2
Bhutan,426,"",-,-,-,-,-,-,-,-,-,-,16,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Myanmar,427,"",11,11,-,2,-,2,-,-,-,-,152,1,-,2,-,-,-,-,-,-,-,-,-,-,-
Georgien,430,"",433,394,39,234,-,-,-,-,141,93,2.865,354,-,-,-,-,136,64,-,-,-,-,5,17,12
Sri Lanka,431,"",56,50,6,13,-,3,-,-,7,3,887,152,-,3,-,-,7,1,-,-,-,-,-,1,1
Vietnam,432,"",52,49,3,34,-,-,-,-,13,21,803,59,-,-,-,-,10,19,-,-,-,-,3,-,2
Korea (Demokrat. Volksrepubl.),434,"",4,4,-,3,-,-,-,-,3,-,93,2,-,-,-,-,3,-,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Indien,436,"",270,265,5,52,-,-,-,1,37,14,2.856,75,-,-,-,-,35,12,-,-,-,1,2,2,-
Indonesien,437,"",-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Irak,438,"",2.083,1.975,108,1.410,17,1.142,23,5,6,217,9.195,2.219,17,781,15,3,6,203,-,361,8,2,-,6,8
"Iran, Islamische Republik",439,"",422,395,27,310,39,157,5,-,39,70,5.381,537,39,148,5,-,35,61,-,9,-,-,4,6,3
Israel,441,"",2,2,-,-,-,-,-,-,-,-,44,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Kasachstan,444,"",13,13,-,11,-,-,-,-,3,8,110,20,-,-,-,-,3,8,-,-,-,-,-,-,-
Jordanien,445,"",15,12,3,5,-,3,-,-,-,2,169,27,-,3,-,-,-,-,-,-,-,-,-,2,-
Kambodscha,446,"",-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kuwait,448,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Laos, Demokratische Volksrepublik",449,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kirgisistan,450,"",7,7,-,4,-,-,-,-,-,4,97,21,-,-,-,-,-,-,-,-,-,-,-,-,4
Libanon,451,"",83,70,13,43,-,1,-,-,15,27,896,145,-,1,-,-,14,21,-,-,-,-,1,5,1
Oman,456,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mongolei,457,"",27,21,6,14,-,-,-,-,2,12,613,31,-,-,-,-,2,11,-,-,-,-,-,-,1
Nepal,458,"",-,-,-,-,-,-,-,-,-,-,28,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Staatsangehörigkeit ohne Bezeichnung,459,"",32,32,-,10,-,7,-,-,-,3,204,1,-,7,-,-,-,3,-,-,-,-,-,-,-
Bangladesch,460,"",63,59,4,25,-,1,-,1,8,15,920,42,-,1,-,1,8,14,-,-,-,-,-,1,-
