Herkunftsland, LS, ,ASYLANTRÄGE insgesamt, ASYLANTRÄGE davon Erstanträge, ASYLANTRÄGE davon Folgeanträge, ENTSCHEIDUNGEN über Asylanträge insgesamt, ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl), ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen, ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen, ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen, ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl), ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen), ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl), ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren, ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
Elfenbeinküste (Cote d Ivoire),231,"",42,42,-,31,-,1,-,-,3,27,425,21,-,1,-,-,3,26,-,-,-,-,-,-,1
Nigeria,232,"",113,103,10,194,-,-,6,7,81,100,8.889,201,-,-,5,6,76,96,-,-,1,1,5,1,3
Simbabwe,233,"",-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gabun,236,"",-,-,-,1,-,-,-,-,1,-,3,1,-,-,-,-,1,-,-,-,-,-,-,-,-
Gambia,237,"",97,91,6,62,2,-,-,1,10,49,4.452,137,2,-,-,1,10,43,-,-,-,-,-,1,5
Ghana,238,"",54,53,1,48,-,-,-,1,32,15,1.772,54,-,-,-,1,32,14,-,-,-,-,-,-,1
Mauretanien,239,"",13,12,1,4,-,-,-,-,1,3,111,6,-,-,-,-,1,3,-,-,-,-,-,-,-
Cabo Verde,242,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kenia,243,"",1,-,1,11,-,-,-,-,8,3,140,12,-,-,-,-,8,3,-,-,-,-,-,-,-
Komoren,244,"",-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kongo,245,"",2,2,-,3,-,-,-,-,1,2,104,6,-,-,-,-,1,2,-,-,-,-,-,-,-
"Kongo, Dem. Republik",246,"",2,2,-,19,-,1,1,-,15,2,434,35,-,1,1,-,15,2,-,-,-,-,-,-,-
Liberia,247,"",4,3,1,4,-,1,-,-,-,3,97,9,-,1,-,-,-,3,-,-,-,-,-,-,-
Libyen,248,"",49,49,-,19,1,3,-,1,7,7,1.497,38,1,3,-,1,6,7,-,-,-,-,1,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Mali,251,"",16,13,3,36,-,-,1,-,6,29,783,26,-,-,1,-,5,29,-,-,-,-,1,-,-
Marokko,252,"",225,211,14,70,-,2,-,1,34,33,2.364,106,-,2,-,1,34,29,-,-,-,-,-,-,4
Mauritius,253,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mosambik,254,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Niger,255,"",6,5,1,7,-,-,-,1,1,5,158,19,-,-,-,1,-,5,-,-,-,-,1,-,-
Malawi,256,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sambia,257,"",-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Burkina-Faso,258,"",9,6,3,11,-,-,-,-,3,8,251,15,-,-,-,-,3,7,-,-,-,-,-,1,-
Guinea-Bissau,259,"",9,8,1,15,-,-,-,-,-,15,421,14,-,-,-,-,-,15,-,-,-,-,-,-,-
Guinea,261,"",50,45,5,42,2,5,-,2,16,17,2.185,100,2,5,-,2,15,12,-,-,-,-,1,1,4
Kamerun,262,"",38,36,2,40,-,-,-,-,21,19,1.230,53,-,-,-,-,21,18,-,-,-,-,-,-,1
Südafrika,263,"",-,-,-,-,-,-,-,-,-,-,18,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Ruanda,265,"",8,8,-,3,-,-,-,-,1,2,45,-,-,-,-,-,1,2,-,-,-,-,-,-,-
Namibia,267,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Senegal,269,"",17,17,-,128,-,-,-,-,101,27,1.971,23,-,-,-,-,101,27,-,-,-,-,-,-,-
Sierra Leone,272,"",3,2,1,16,-,-,-,1,10,5,559,41,-,-,-,1,10,4,-,-,-,-,-,-,1
Somalia,273,"",143,126,17,146,-,35,18,14,21,58,9.381,385,-,35,18,10,21,46,-,-,-,4,-,2,10
Äquatorialguinea,274,"",-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sudan (ohne Südsudan),277,"",85,80,5,34,-,9,5,1,1,18,1.315,39,-,9,5,1,1,16,-,-,-,-,-,-,2
Südsudan,278,"",5,5,-,3,-,-,-,-,-,3,49,6,-,-,-,-,-,3,-,-,-,-,-,-,-
Tansania,282,"",-,-,-,1,-,-,-,-,-,1,80,4,-,-,-,-,-,1,-,-,-,-,-,-,-
Togo,283,"",5,5,-,1,-,-,-,-,-,1,391,25,-,-,-,-,-,1,-,-,-,-,-,-,-
Tschad,284,"",9,8,1,15,-,-,-,-,4,11,142,13,-,-,-,-,4,11,-,-,-,-,-,-,-
Tunesien,285,"",43,36,7,36,-,-,-,-,23,13,846,118,-,-,-,-,19,6,-,-,-,-,4,-,7
Uganda,286,"",-,-,-,12,-,-,-,5,3,4,155,7,-,-,-,5,3,3,-,-,-,-,-,1,-
Ägypten,287,"",62,57,5,120,12,23,4,-,61,20,2.725,88,12,23,4,-,60,16,-,-,-,-,1,2,2
Zentralafrikanische Republik,289,"",3,3,-,-,-,-,-,-,-,-,60,3,-,-,-,-,-,-,-,-,-,-,-,-,-
Burundi,291,"",-,-,-,1,-,-,-,-,-,1,8,1,-,-,-,-,-,-,-,-,-,-,-,-,1
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
sonst. afrik. Staatsangeh.,299,"",3,2,1,13,-,-,-,2,10,1,86,11,-,-,-,2,10,-,-,-,-,-,-,1,-
Afrika,"","",2.067,1.952,115,3.227,39,1.942,45,43,559,599,65.271,2.110,39,1.931,44,38,541,538,-,11,1,5,18,12,49
Argentinien,323,"",-,-,-,1,-,1,-,-,-,-,3,2,-,1,-,-,-,-,-,-,-,-,-,-,-
Brasilien,327,"",-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Belize,330,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dominikanische Republik,335,"",-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ecuador,336,"",-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
El Salvador,337,"",-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grenada,340,"",-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Guatemala,345,"",-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Haiti,346,"",-,-,-,1,-,1,-,-,-,-,4,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Honduras,347,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kanada,348,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kolumbien,349,"",-,-,-,-,-,-,-,-,-,-,38,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Kuba,351,"",3,3,-,1,-,-,-,-,-,1,147,2,-,-,-,-,-,1,-,-,-,-,-,-,-
Mexico,353,"",-,-,-,-,-,-,-,-,-,-,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Nicaragua,354,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jamaica,355,"",-,-,-,-,-,-,-,-,-,-,23,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Paraguay,359,"",-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peru,361,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Venezuela,367,"",1,1,-,-,-,-,-,-,-,-,28,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Vereinigte Staaten v. Amerika,368,"",-,-,-,2,-,-,-,-,1,1,12,1,-,-,-,-,1,1,-,-,-,-,-,-,-
Amerika,"","",4,4,-,7,-,2,-,-,3,2,313,9,-,2,-,-,3,2,-,-,-,-,-,-,-
Jemen,421,"",46,46,-,7,-,-,3,1,-,3,513,33,-,-,2,1,-,3,-,-,1,-,-,-,-
Armenien,422,"",149,131,18,101,-,-,3,7,46,45,3.963,323,-,-,3,7,45,24,-,-,-,-,1,2,19
Afghanistan,423,"",4.949,4.917,32,699,-,191,36,103,149,220,43.375,920,-,181,36,99,146,193,-,10,-,4,3,17,10
Bahrain,424,"",1,1,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Aserbaidschan,425,"",87,78,9,28,-,-,-,3,14,11,2.687,300,-,-,-,-,13,6,-,-,-,3,1,5,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Bhutan,426,"",1,1,-,-,-,-,-,-,-,-,13,4,-,-,-,-,-,-,-,-,-,-,-,-,-
Myanmar,427,"",2,2,-,2,-,2,-,-,-,-,156,3,-,2,-,-,-,-,-,-,-,-,-,-,-
Georgien,430,"",154,124,30,139,-,-,-,3,86,50,3.245,414,-,-,-,3,73,32,-,-,-,-,13,13,5
Sri Lanka,431,"",13,9,4,36,-,4,10,5,14,3,864,182,-,4,10,5,14,3,-,-,-,-,-,-,-
Vietnam,432,"",44,35,9,30,-,-,1,2,9,18,997,74,-,-,-,2,7,18,-,-,1,-,2,-,-
Korea (Demokrat. Volksrepubl.),434,"",1,-,1,2,-,-,-,-,-,2,113,3,-,-,-,-,-,2,-,-,-,-,-,-,-
Indien,436,"",113,108,5,76,-,-,-,1,65,10,3.523,75,-,-,-,1,65,9,-,-,-,-,-,1,-
Indonesien,437,"",-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Irak,438,"",6.636,6.567,69,1.994,16,1.663,65,10,57,183,27.046,1.761,16,1.552,59,10,54,179,-,111,6,-,3,-,4
"Iran, Islamische Republik",439,"",1.087,1.061,26,251,15,118,-,5,55,58,8.655,624,14,105,-,4,49,54,1,13,-,1,6,-,4
Israel,441,"",-,-,-,-,-,-,-,-,-,-,49,6,-,-,-,-,-,-,-,-,-,-,-,-,-
Kasachstan,444,"",5,1,4,-,-,-,-,-,-,-,133,33,-,-,-,-,-,-,-,-,-,-,-,-,-
Jordanien,445,"",10,10,-,4,-,1,-,-,1,2,219,30,-,1,-,-,1,2,-,-,-,-,-,-,-
Kambodscha,446,"",-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Katar,447,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kuwait,448,"",-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Laos, Demokratische Volksrepublik",449,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kirgisistan,450,"",1,1,-,6,-,1,-,-,3,2,87,16,-,1,-,-,-,2,-,-,-,-,3,-,-
Libanon,451,"",327,304,23,54,-,8,1,-,30,15,1.977,217,-,8,1,-,27,8,-,-,-,-,3,5,2
Oman,456,"",-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mongolei,457,"",13,13,-,21,-,1,-,3,4,13,591,35,-,1,-,3,4,2,-,-,-,-,-,2,9
Nepal,458,"",1,1,-,-,-,-,-,-,-,-,30,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Staatsangehörigkeit ohne Bezeichnung,459,"",20,20,-,8,-,3,-,-,-,5,310,1,-,3,-,-,-,5,-,-,-,-,-,-,-
Bangladesch,460,"",47,43,4,51,1,2,-,-,28,20,1.163,46,1,2,-,-,28,15,-,-,-,-,-,5,-
Pakistan,461,"",757,744,13,334,-,14,-,1,242,77,13.639,476,-,14,-,1,237,70,-,-,-,-,5,3,4
Philippinen,462,"",-,-,-,1,-,-,-,-,1,-,17,-,-,-,-,-,1,-,-,-,-,-,-,-,-
China (Taiwan),465,"",1,1,-,-,-,-,-,-,-,-,20,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Korea (Republik),467,"",-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Vereinigte arabische Emirate,469,"",-,-,-,-,-,-,-,-,-,-,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Tadschikistan,470,"",8,8,-,15,-,-,-,-,9,6,403,28,-,-,-,-,9,3,-,-,-,-,-,3,-
Turkmenistan,471,"",32,32,-,8,1,-,-,-,6,1,687,14,1,-,-,-,6,1,-,-,-,-,-,-,-
Saudi Arabien,472,"",1,1,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Syrien, Arabische Republik",475,"",27.306,27.146,160,25.265,83,24.889,18,48,2,225,79.766,1.410,80,24.516,18,44,2,211,3,373,-,4,-,2,12
Thailand,476,"",-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Usbekistan,477,"",1,1,-,1,-,-,-,-,-,1,36,1,-,-,-,-,-,-,-,-,-,-,-,1,-
China,479,"",22,21,1,25,-,-,1,-,17,7,1.075,56,-,-,1,-,13,6,-,-,-,-,4,1,-
Malaysia,482,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sonst. asiat. Staatsangeh.,499,"",295,288,7,232,-,181,-,-,34,17,2.404,162,-,170,-,-,33,17,-,11,-,-,1,-,-
Asien,"","",42.130,41.715,415,29.390,116,27.078,138,192,872,994,197.831,7.251,112,26.560,130,180,827,865,4,518,8,12,45,60,69
Australien,523,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Australien,"","",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Staatenlos,997,"",599,594,5,436,-,426,-,-,7,3,2.890,63,-,414,-,-,6,2,-,12,-,-,1,-,1
Ungeklärt,998,"",2.826,2.799,27,1.574,-,1.532,1,-,18,23,12.397,331,-,1.499,1,-,17,21,-,33,-,-,1,2,-
ohne Angabe,999,"",4,4,-,3,-,3,-,-,-,-,50,3,-,3,-,-,-,-,-,-,-,-,-,-,-
Unbekannt,"","",3.429,3.397,32,2.013,-,1.961,1,-,25,26,15.337,397,-,1.916,1,-,23,23,-,45,-,-,2,2,1
Herkunftsländer gesamt,"","",52.103,50.532,1.571,49.384,157,31.003,194,269,13.175,4.586,345.126,26.628,153,30.428,180,245,12.636,3.201,4,575,14,24,539,958,427
