Herkunftsland,LS,,ASYLANTRÄGE insgesamt,ASYLANTRÄGE davon Erstanträge,ASYLANTRÄGE davon Folgeanträge,ENTSCHEIDUNGEN über Asylanträge insgesamt,ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen,ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen,ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren,ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
Niederlande,148,"",2,2,-,1,-,-,-,-,1,-,4,1,-,-,-,-,1,-,-,-,-,-,-,-,-
Kosovo,150,"",37.095,33.427,3.668,29.801,-,13,22,97,26.139,3.530,11.997,2.338,-,13,21,81,24.515,2.171,-,-,1,16,1.624,990,369
Polen,152,"",7,7,-,2,-,-,-,-,1,1,27,-,-,-,-,-,-,1,-,-,-,-,1,-,-
Portugal,153,"",3,3,-,2,-,-,-,1,-,1,4,-,-,-,-,1,-,1,-,-,-,-,-,-,-
Rumänien,154,"",7,5,2,6,-,-,-,-,3,3,9,3,-,-,-,-,2,1,-,-,-,-,1,2,-
Slowakische Republik,155,"",1,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Schweden,157,"",2,1,1,3,-,-,-,-,2,1,1,-,-,-,-,-,2,-,-,-,-,-,-,-,1
Schweiz,158,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Russische Föderation,160,"",6.200,5.257,943,4.832,9,185,71,138,918,3.511,6.815,1.182,9,158,63,54,811,2.556,-,27,8,84,107,142,813
Spanien,161,"",2,2,-,1,-,-,-,-,-,1,13,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Türkei,163,"",1.767,1.500,267,887,17,81,19,13,265,492,3.028,441,14,61,18,9,237,399,3,20,1,4,28,51,42
Tschechische Republik,164,"",3,3,-,11,-,-,-,-,4,7,2,5,-,-,-,-,4,7,-,-,-,-,-,-,-
Ungarn,165,"",8,5,3,10,-,-,-,-,-,10,5,1,-,-,-,-,-,5,-,-,-,-,-,5,-
Ukraine,166,"",4.658,4.569,89,1.008,1,51,-,2,42,912,6.020,117,1,49,-,2,42,873,-,2,-,-,-,1,38
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Großbritannien mit Nordirland,168,"",4,4,-,2,-,-,-,-,1,1,2,-,-,-,-,-,1,1,-,-,-,-,-,-,-
Weißrußland,169,"",296,273,23,70,-,6,-,-,-,64,321,30,-,6,-,-,-,55,-,-,-,-,-,-,9
Serbien,170,"",26.945,16.700,10.245,22.341,-,4,-,22,13.611,8.704,10.327,6.917,-,4,-,22,12.615,1.810,-,-,-,-,996,5.873,1.021
Zypern,181,"",2,2,-,1,-,-,-,-,1,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-
sonst. europ. Staatsangeh.,199,"",6,3,3,38,-,-,-,-,34,4,5,3,-,-,-,-,34,2,-,-,-,-,-,2,-
Europa,"","",158.647,134.144,24.503,111.896,27,373,149,346,83.018,27.983,75.528,17.520,24,323,139,228,79.238,13.664,3,50,10,118,3.780,10.991,3.328
Algerien,221,"",2.240,2.041,199,1.119,2,9,4,3,336,765,3.114,230,1,9,4,3,330,665,1,-,-,-,6,26,74
Angola,223,"",55,52,3,66,2,2,5,20,22,15,164,6,2,2,5,19,21,14,-,-,-,1,1,1,-
Eritrea,224,"",10.990,10.876,114,10.099,44,8.870,347,39,38,761,15.877,154,44,8.851,347,20,37,728,-,19,-,19,1,4,29
Äthiopien,225,"",2.168,2.135,33,394,-,59,12,26,89,208,3.407,69,-,58,12,23,85,188,-,1,-,3,4,12,8
Lesotho,226,"",1,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Botsuana,227,"",1,-,1,4,1,-,-,-,3,-,4,1,1,-,-,-,3,-,-,-,-,-,-,-,-
Benin,229,"",368,353,15,103,-,-,-,1,21,81,495,14,-,-,-,-,21,74,-,-,-,1,-,2,5
Dschibuti,230,"",20,20,-,9,-,-,-,2,3,4,22,1,-,-,-,2,3,4,-,-,-,-,-,-,-
Elfenbeinküste (Cote d Ivoire),231,"",564,548,16,347,-,3,3,3,30,308,412,21,-,3,3,3,30,295,-,-,-,-,-,1,12
Nigeria,232,"",5.302,5.207,95,1.149,7,25,7,37,182,891,8.904,199,7,24,6,34,176,867,-,1,1,3,6,12,12
Simbabwe,233,"",8,8,-,17,1,1,4,-,9,2,21,-,1,1,4,-,9,2,-,-,-,-,-,-,-
Gabun,236,"",6,5,1,7,-,-,1,-,3,3,4,1,-,-,1,-,3,3,-,-,-,-,-,-,-
Gambia,237,"",3.110,2.993,117,603,2,8,-,6,54,533,4.385,137,2,8,-,6,53,519,-,-,-,-,1,1,13
Ghana,238,"",1.152,1.109,43,567,-,8,-,5,133,421,1.752,51,-,8,-,4,128,398,-,-,-,1,5,10,13
Mauretanien,239,"",157,144,13,86,-,1,-,-,15,70,104,5,-,1,-,-,15,54,-,-,-,-,-,6,10
Cabo Verde,242,"",1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kenia,243,"",144,137,7,166,-,1,-,-,109,56,147,11,-,1,-,-,109,53,-,-,-,-,-,-,3
Komoren,244,"",8,8,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kongo,245,"",48,47,1,22,-,-,-,2,11,9,105,6,-,-,-,2,11,9,-,-,-,-,-,-,-
"Kongo, Dem. Republik",246,"",166,156,10,164,1,6,6,17,107,27,452,34,1,6,6,17,106,21,-,-,-,-,1,5,1
Liberia,247,"",92,83,9,46,-,-,-,-,1,45,103,8,-,-,-,-,1,40,-,-,-,-,-,-,5
Libyen,248,"",1.152,1.127,25,358,58,55,-,10,35,200,1.422,39,58,54,-,9,33,186,-,1,-,1,2,-,14
Mali,251,"",562,527,35,336,-,7,-,7,58,264,798,24,-,7,-,6,58,243,-,-,-,1,-,1,20
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Marokko,252,"",1.747,1.630,117,962,-,22,4,10,401,525,2.137,94,-,21,4,10,394,442,-,1,-,-,7,26,57
Mauritius,253,"",1,1,-,2,-,-,-,2,-,-,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-
Mosambik,254,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Niger,255,"",184,160,24,106,-,-,-,3,13,90,158,19,-,-,-,2,13,74,-,-,-,1,-,1,15
Malawi,256,"",3,3,-,2,-,-,-,-,2,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-
Sambia,257,"",3,3,-,5,-,-,-,-,2,3,3,-,-,-,-,-,2,3,-,-,-,-,-,-,-
Burkina-Faso,258,"",219,199,20,127,-,-,-,4,24,99,256,13,-,-,-,4,23,85,-,-,-,-,1,-,14
Guinea-Bissau,259,"",401,380,21,222,-,-,-,2,20,200,429,12,-,-,-,1,20,184,-,-,-,1,-,-,16
Guinea,261,"",741,662,79,413,4,47,2,23,83,254,2.160,98,4,43,2,21,80,215,-,4,-,2,3,8,31
Kamerun,262,"",1.004,964,40,381,-,-,3,4,94,280,1.222,52,-,-,2,4,94,261,-,-,1,-,-,6,13
Südafrika,263,"",16,16,-,4,-,-,-,-,2,2,19,-,-,-,-,-,2,2,-,-,-,-,-,-,-
Ruanda,265,"",39,38,1,32,4,7,-,7,8,6,40,-,4,7,-,7,8,5,-,-,-,-,-,-,1
Namibia,267,"",4,4,-,5,-,-,-,-,2,3,2,-,-,-,-,-,2,3,-,-,-,-,-,-,-
Senegal,269,"",1.205,1.189,16,215,-,-,-,2,29,184,2.077,25,-,-,-,-,29,182,-,-,-,2,-,-,2
Sierra Leone,272,"",306,293,13,76,-,4,-,8,26,38,571,41,-,4,-,8,26,37,-,-,-,-,-,-,1
Somalia,273,"",5.392,5.126,266,2.038,-,434,265,110,183,1.046,9.319,361,-,407,258,82,180,927,-,27,7,28,3,17,102
Äquatorialguinea,274,"",4,4,-,1,-,-,-,-,-,1,11,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Sudan (ohne Südsudan),277,"",1.080,1.032,48,479,4,44,88,7,49,287,1.254,37,4,42,86,1,47,261,-,2,2,6,2,1,25
Südsudan,278,"",50,47,3,24,6,1,-,-,-,17,48,6,6,-,-,-,-,16,-,1,-,-,-,-,1
Swasiland,281,"",-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Tansania,282,"",36,32,4,11,-,-,-,1,2,8,81,4,-,-,-,1,2,8,-,-,-,-,-,-,-
Togo,283,"",250,239,11,64,-,-,1,2,16,45,383,24,-,-,1,1,16,36,-,-,-,1,-,7,2
Tschad,284,"",143,127,16,149,-,1,-,21,24,103,146,12,-,1,-,15,24,65,-,-,-,6,-,4,34
Tunesien,285,"",923,822,101,524,-,-,-,1,256,267,817,117,-,-,-,1,246,203,-,-,-,-,10,10,54
Uganda,286,"",78,75,3,25,1,3,-,-,6,15,166,8,1,3,-,-,6,13,-,-,-,-,-,1,1
Ägypten,287,"",1.077,1.002,75,864,158,178,8,21,226,273,2.763,86,158,177,8,13,224,244,-,1,-,8,2,9,20
Zentralafrikanische Republik,289,"",28,26,2,7,-,1,-,1,-,5,57,3,-,1,-,1,-,5,-,-,-,-,-,-,-
Burundi,291,"",7,5,2,6,-,-,-,2,3,1,8,2,-,-,-,2,3,-,-,-,-,-,-,-,1
sonst. afrik. Staatsangeh.,299,"",56,55,1,81,-,-,-,13,58,10,83,10,-,-,-,13,58,8,-,-,-,-,-,1,1
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Afrika,"","",43.312,41.712,1.600,22.489,295,9.797,760,422,2.790,8.425,65.918,2.035,294,9.739,749,337,2.735,7.643,1,58,11,85,55,172,610
Argentinien,323,"",3,1,2,1,-,-,-,-,-,1,4,2,-,-,-,-,-,-,-,-,-,-,-,1,-
Brasilien,327,"",5,5,-,11,-,-,-,1,-,10,10,-,-,-,-,1,-,10,-,-,-,-,-,-,-
Belize,330,"",1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Chile,332,"",1,1,-,2,-,-,-,-,1,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
Dominikanische Republik,335,"",3,3,-,3,-,-,-,1,1,1,5,-,-,-,-,1,1,1,-,-,-,-,-,-,-
Ecuador,336,"",1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
El Salvador,337,"",1,1,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Grenada,340,"",1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Guatemala,345,"",-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Haiti,346,"",7,5,2,2,-,-,-,-,-,2,5,-,-,-,-,-,-,-,-,-,-,-,-,2,-
Honduras,347,"",21,20,1,15,-,-,4,-,3,8,8,-,-,-,4,-,3,7,-,-,-,-,-,1,-
Kanada,348,"",1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kolumbien,349,"",4,4,-,13,-,1,-,1,5,6,38,1,-,1,-,-,5,6,-,-,-,1,-,-,-
Kuba,351,"",91,91,-,35,-,-,-,-,1,34,145,2,-,-,-,-,1,34,-,-,-,-,-,-,-
Mexico,353,"",7,6,1,4,-,-,-,2,2,-,5,1,-,-,-,2,2,-,-,-,-,-,-,-,-
Nicaragua,354,"",3,3,-,2,-,-,-,-,1,1,2,-,-,-,-,-,1,1,-,-,-,-,-,-,-
Jamaica,355,"",14,14,-,11,-,-,-,-,3,8,23,1,-,-,-,-,3,8,-,-,-,-,-,-,-
Paraguay,359,"",5,5,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peru,361,"",3,3,-,3,-,-,-,-,2,1,8,-,-,-,-,-,2,1,-,-,-,-,-,-,-
Suriname,364,"",-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Venezuela,367,"",21,20,1,7,-,-,1,-,4,2,27,1,-,-,1,-,4,1,-,-,-,-,-,1,-
Vereinigte Staaten v. Amerika,368,"",10,9,1,5,1,1,-,-,1,2,14,1,1,1,-,-,1,2,-,-,-,-,-,-,-
Trinidad und Tobago,371,"",1,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Amerika,"","",204,196,8,116,1,2,5,5,25,78,316,9,1,2,5,4,25,73,-,-,-,1,-,5,-
Jemen,421,"",349,328,21,76,1,12,33,-,-,30,472,33,1,12,31,-,-,23,-,-,2,-,-,-,7
Armenien,422,"",2.160,1.965,195,693,-,21,4,34,268,366,3.909,317,-,18,4,30,263,300,-,3,-,4,5,41,25
Afghanistan,423,"",31.902,31.382,520,5.966,48,1.660,325,809,819,2.305,38.014,909,47,1.503,301,700,809,2.132,1,157,24,109,10,62,111
Bahrain,424,"",13,13,-,27,23,2,-,-,-,2,9,-,22,2,-,-,-,2,1,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Aserbaidschan,425,"",1.497,1.335,162,390,15,28,9,19,165,154,2.618,299,15,27,8,16,160,127,-,1,1,3,5,21,6
Bhutan,426,"",-,-,-,5,-,-,-,-,4,1,12,4,-,-,-,-,4,-,-,-,-,-,-,-,1
Myanmar,427,"",56,54,2,22,1,11,-,-,-,10,155,3,1,11,-,-,-,10,-,-,-,-,-,-,-
Georgien,430,"",3.196,2.782,414,2.360,-,-,-,7,1.425,928,3.203,411,-,-,-,7,1.370,640,-,-,-,-,55,95,193
Sri Lanka,431,"",358,281,77,210,1,65,3,6,85,50,888,176,1,63,3,3,84,25,-,2,-,3,1,17,8
Vietnam,432,"",705,659,46,305,-,-,-,9,81,215,984,68,-,-,-,6,71,187,-,-,-,3,10,15,13
Korea (Demokrat. Volksrepubl.),434,"",35,35,-,4,-,-,-,-,4,-,114,2,-,-,-,-,4,-,-,-,-,-,-,-,-
Indien,436,"",1.889,1.834,55,551,-,3,-,7,416,125,3.460,71,-,3,-,5,411,99,-,-,-,2,5,21,5
Indonesien,437,"",5,5,-,2,-,-,-,-,2,-,7,-,-,-,-,-,2,-,-,-,-,-,-,-,-
Irak,438,"",31.379,29.784,1.595,16.796,157,14.353,289,81,128,1.788,22.091,1.811,152,10.580,176,53,111,1.667,5,3.773,113,28,17,48,73
"Iran, Islamische Republik",439,"",5.732,5.394,338,2.664,208,1.325,29,25,278,799,7.731,610,206,1.218,26,11,260,737,2,107,3,14,18,29,33
Israel,441,"",13,11,2,3,-,-,-,-,2,1,49,6,-,-,-,-,2,1,-,-,-,-,-,-,-
Japan,442,"",-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Kasachstan,444,"",124,100,24,87,2,-,-,-,14,71,132,29,2,-,-,-,14,57,-,-,-,-,-,4,10
Jordanien,445,"",151,136,15,61,2,20,1,-,11,27,211,29,2,20,1,-,5,23,-,-,-,-,6,2,2
Kambodscha,446,"",4,4,-,5,-,-,-,-,5,-,11,-,-,-,-,-,5,-,-,-,-,-,-,-,-
Katar,447,"",1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kuwait,448,"",3,3,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Laos, Demokratische Volksrepublik",449,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kirgisistan,450,"",96,86,10,71,-,5,-,4,13,49,89,19,-,5,-,-,13,39,-,-,-,4,-,1,9
Libanon,451,"",1.421,1.284,137,448,-,34,-,11,156,247,1.619,205,-,33,-,8,136,205,-,1,-,3,20,21,21
Oman,456,"",2,2,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mongolei,457,"",381,340,41,212,-,1,-,-,56,155,596,36,-,1,-,-,51,129,-,-,-,-,5,1,25
Nepal,458,"",13,13,-,15,-,-,-,8,6,1,28,1,-,-,-,7,6,1,-,-,-,1,-,-,-
Staatsangehörigkeit ohne Bezeichnung,459,"",282,280,2,116,-,61,-,-,9,46,309,1,-,60,-,-,9,45,-,1,-,-,-,-,1
Bangladesch,460,"",839,808,31,447,-,22,1,10,220,194,1.154,45,-,19,1,8,217,178,-,3,-,2,3,13,3
Pakistan,461,"",8.472,8.199,273,2.015,4,158,11,24,844,974,13.113,470,4,139,11,16,831,860,-,19,-,8,13,50,64
Philippinen,462,"",10,10,-,11,-,1,-,-,8,2,18,-,-,1,-,-,8,2,-,-,-,-,-,-,-
China (Taiwan),465,"",16,16,-,1,-,-,-,-,1,-,20,1,-,-,-,-,1,-,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Korea (Republik),467,"",5,5,-,2,-,-,-,-,-,2,12,-,-,-,-,-,-,2,-,-,-,-,-,-,-
Vereinigte arabische Emirate,469,"",6,6,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tadschikistan,470,"",299,281,18,178,4,-,1,-,27,146,402,32,4,-,1,-,24,130,-,-,-,-,3,11,5
Turkmenistan,471,"",361,347,14,52,-,-,-,-,13,39,671,14,-,-,-,-,13,33,-,-,-,-,-,2,4
Saudi Arabien,472,"",17,17,-,3,-,2,-,-,-,1,16,-,-,2,-,-,-,1,-,-,-,-,-,-,-
"Syrien, Arabische Republik",475,"",162.510,158.657,3.853,105.620,1.167,99.970,61,221,23,4.178,76.359,1.553,1.141,96.515,57,140,22,4.062,26,3.455,4,81,1,38,78
Thailand,476,"",2,1,1,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Usbekistan,477,"",23,22,1,12,4,3,-,-,2,3,35,2,4,3,-,-,2,3,-,-,-,-,-,-,-
China,479,"",553,521,32,166,3,23,2,-,97,41,1.072,60,3,22,2,-,94,27,-,1,-,-,3,12,2
Malaysia,482,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sonst. asiat. Staatsangeh.,499,"",3.372,3.201,171,2.332,21,1.934,18,8,120,231,2.476,143,18,1.789,18,5,118,196,3,145,-,3,2,29,6
Asien,"","",258.252,250.202,8.050,141.929,1.661,119.714,787,1.283,5.303,13.181,182.078,7.361,1.623,112.046,640,1.015,5.121,11.943,38,7.668,147,268,182,533,705
Australien,523,"",-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Neuseeland,536,"",1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Australien,"","",1,1,-,1,-,-,1,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Staatenlos,997,"",4.027,3.886,141,2.158,10,1.962,-,3,25,158,2.853,66,9,1.815,-,2,25,151,1,147,-,1,-,3,4
Ungeklärt,998,"",12.166,11.721,445,4.128,35,3.256,5,13,352,467,10.589,339,32,3.013,5,9,348,405,3,243,-,4,4,40,22
ohne Angabe,999,"",40,37,3,9,-,3,-,-,1,5,48,3,-,3,-,-,-,5,-,-,-,-,1,-,-
Unbekannt,"","",16.233,15.644,589,6.295,45,5.221,5,16,378,630,13.490,408,41,4.831,5,11,373,561,4,390,-,5,5,43,26
Herkunftsländer gesamt,"","",476.649,441.899,34.750,282.726,2.029,135.107,1.707,2.072,91.514,50.297,337.331,27.333,1.983,126.941,1.539,1.595,87.492,33.884,46,8.166,168,477,4.022,11.744,4.669
