Herkunftsland, LS, ,ASYLANTRÄGE insgesamt, ASYLANTRÄGE davon Erstanträge, ASYLANTRÄGE davon Folgeanträge, ENTSCHEIDUNGEN über Asylanträge insgesamt, ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl), ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen, ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen, ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen, ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl), ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen), ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl), ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren, ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
Serbien,170,"",1.982,1.201,781,1.463,-,3,-,-,951,509,11.266,6.672,-,3,-,-,913,126,-,-,-,-,38,316,67
Zypern,181,"",2,2,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sonst. europ. Staatsangeh.,199,"",1,1,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Europa,"","",13.099,11.185,1.914,11.896,3,57,5,35,9.717,2.079,81.682,17.040,3,51,5,31,9.567,1.292,-,6,-,4,150,595,192
Algerien,221,"",146,132,14,93,-,2,1,-,19,71,2.976,216,-,2,1,-,19,66,-,-,-,-,-,2,3
Angola,223,"",3,3,-,1,-,-,-,-,1,-,163,7,-,-,-,-,1,-,-,-,-,-,-,-,-
Eritrea,224,"",1.122,1.113,9,717,1,521,148,1,2,44,18.652,137,1,521,148,-,2,41,-,-,-,1,-,-,3
Äthiopien,225,"",158,156,2,27,-,5,-,7,3,12,2.723,73,-,5,-,7,3,12,-,-,-,-,-,-,-
Botsuana,227,"",-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Benin,229,"",25,25,-,5,-,-,-,-,-,5,446,11,-,-,-,-,-,4,-,-,-,-,-,-,1
Dschibuti,230,"",3,3,-,-,-,-,-,-,-,-,24,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Elfenbeinküste (Cote d Ivoire),231,"",64,64,-,49,-,-,-,-,-,49,362,20,-,-,-,-,-,47,-,-,-,-,-,1,1
Nigeria,232,"",455,448,7,83,-,1,-,8,5,69,8.375,191,-,1,-,8,5,65,-,-,-,-,-,2,2
Simbabwe,233,"",-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gabun,236,"",-,-,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Gambia,237,"",286,280,6,27,-,2,-,2,3,20,3.752,110,-,2,-,2,3,20,-,-,-,-,-,-,-
Ghana,238,"",105,103,2,50,-,3,-,-,2,45,1.672,51,-,3,-,-,2,44,-,-,-,-,-,-,1
Mauretanien,239,"",21,21,-,13,-,-,-,-,1,12,97,4,-,-,-,-,1,11,-,-,-,-,-,-,1
Kenia,243,"",12,11,1,4,-,-,-,-,2,2,155,10,-,-,-,-,2,2,-,-,-,-,-,-,-
Komoren,244,"",-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kongo,245,"",1,1,-,2,-,-,-,-,1,1,107,5,-,-,-,-,1,1,-,-,-,-,-,-,-
"Kongo, Dem. Republik",246,"",25,24,1,17,-,-,-,3,12,2,496,31,-,-,-,3,12,2,-,-,-,-,-,-,-
Liberia,247,"",11,11,-,6,-,-,-,-,-,6,94,9,-,-,-,-,-,5,-,-,-,-,-,-,1
Libyen,248,"",41,41,-,35,5,11,-,1,1,17,1.263,37,5,11,-,1,1,17,-,-,-,-,-,-,-
Mali,251,"",31,30,1,14,-,-,-,-,2,12,775,25,-,-,-,-,2,10,-,-,-,-,-,-,2
Marokko,252,"",105,102,3,81,-,-,-,1,34,46,1.905,93,-,-,-,1,33,43,-,-,-,-,1,1,2
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Mauritius,253,"",1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mosambik,254,"",-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Niger,255,"",16,16,-,7,-,-,-,-,-,7,135,16,-,-,-,-,-,5,-,-,-,-,-,1,1
Malawi,256,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sambia,257,"",-,-,-,2,-,-,-,-,-,2,3,-,-,-,-,-,-,2,-,-,-,-,-,-,-
Burkina-Faso,258,"",19,18,1,8,-,-,-,2,-,6,215,11,-,-,-,2,-,2,-,-,-,-,-,-,4
Guinea-Bissau,259,"",18,17,1,9,-,-,-,-,-,9,360,12,-,-,-,-,-,8,-,-,-,-,-,-,1
Guinea,261,"",39,35,4,41,-,2,-,2,8,29,2.131,91,-,2,-,2,8,25,-,-,-,-,-,-,4
Kamerun,262,"",103,102,1,28,-,-,-,-,4,24,1.060,39,-,-,-,-,4,24,-,-,-,-,-,-,-
Südafrika,263,"",6,6,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ruanda,265,"",-,-,-,5,1,3,-,1,-,-,38,-,1,3,-,1,-,-,-,-,-,-,-,-,-
Namibia,267,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Senegal,269,"",92,90,2,8,-,-,-,-,2,6,2.051,21,-,-,-,-,2,6,-,-,-,-,-,-,-
Sierra Leone,272,"",19,18,1,-,-,-,-,-,-,-,574,40,-,-,-,-,-,-,-,-,-,-,-,-,-
Somalia,273,"",322,302,20,152,-,38,36,12,5,61,8.707,309,-,35,34,7,5,56,-,3,2,5,-,-,5
Äquatorialguinea,274,"",-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sudan (ohne Südsudan),277,"",149,148,1,62,-,3,4,-,2,53,1.173,34,-,3,4,-,2,52,-,-,-,-,-,-,1
Südsudan,278,"",5,5,-,3,-,-,-,-,-,3,45,6,-,-,-,-,-,3,-,-,-,-,-,-,-
Tansania,282,"",3,3,-,1,-,-,-,-,-,1,77,2,-,-,-,-,-,1,-,-,-,-,-,-,-
Togo,283,"",38,38,-,-,-,-,-,-,-,-,336,24,-,-,-,-,-,-,-,-,-,-,-,-,-
Tschad,284,"",18,18,-,2,-,-,-,-,-,2,144,16,-,-,-,-,-,2,-,-,-,-,-,-,-
Tunesien,285,"",61,54,7,27,-,-,-,-,8,19,819,119,-,-,-,-,8,15,-,-,-,-,-,-,4
Uganda,286,"",10,10,-,1,-,-,-,-,-,1,176,8,-,-,-,-,-,1,-,-,-,-,-,-,-
Ägypten,287,"",54,48,6,65,7,27,-,-,7,24,2.736,71,7,27,-,-,7,21,-,-,-,-,-,1,2
Zentralafrikanische Republik,289,"",-,-,-,-,-,-,-,-,-,-,52,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Burundi,291,"",-,-,-,-,-,-,-,-,-,-,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-
sonst. afrik. Staatsangeh.,299,"",-,-,-,5,-,-,-,-,5,-,59,11,-,-,-,-,5,-,-,-,-,-,-,-,-
Afrika,"","",3.587,3.497,90,1.650,14,618,189,40,129,660,65.011,1.865,14,615,187,34,128,613,-,3,2,6,1,8,39
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Argentinien,323,"",-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-
Brasilien,327,"",-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dominikanische Republik,335,"",-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ecuador,336,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
El Salvador,337,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Guatemala,345,"",-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Haiti,346,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,347,"",-,-,-,6,-,-,-,-,-,6,3,-,-,-,-,-,-,6,-,-,-,-,-,-,-
Kanada,348,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kolumbien,349,"",-,-,-,1,-,-,-,-,-,1,39,1,-,-,-,-,-,1,-,-,-,-,-,-,-
Kuba,351,"",4,4,-,5,-,-,-,-,-,5,141,2,-,-,-,-,-,5,-,-,-,-,-,-,-
Mexico,353,"",-,-,-,-,-,-,-,-,-,-,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Nicaragua,354,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jamaica,355,"",-,-,-,-,-,-,-,-,-,-,27,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Paraguay,359,"",1,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peru,361,"",-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Venezuela,367,"",2,2,-,1,-,-,1,-,-,-,29,2,-,-,1,-,-,-,-,-,-,-,-,-,-
Vereinigte Staaten v. Amerika,368,"",2,2,-,2,1,-,-,-,-,1,11,-,1,-,-,-,-,1,-,-,-,-,-,-,-
Trinidad und Tobago,371,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amerika,"","",9,9,-,15,1,-,1,-,-,13,309,10,1,-,1,-,-,13,-,-,-,-,-,-,-
Jemen,421,"",27,27,-,6,-,4,2,-,-,-,425,33,-,4,2,-,-,-,-,-,-,-,-,-,-
Armenien,422,"",232,203,29,98,-,4,-,4,41,49,3.703,289,-,4,-,4,41,48,-,-,-,-,-,-,1
Afghanistan,423,"",2.751,2.724,27,465,8,146,29,52,25,205,24.264,836,8,126,29,46,24,198,-,20,-,6,1,2,5
Bahrain,424,"",1,1,-,1,-,-,-,-,-,1,13,1,-,-,-,-,-,1,-,-,-,-,-,-,-
Aserbaidschan,425,"",135,119,16,41,-,5,2,-,21,13,2.394,275,-,5,2,-,21,13,-,-,-,-,-,-,-
Bhutan,426,"",-,-,-,-,-,-,-,-,-,-,16,4,-,-,-,-,-,-,-,-,-,-,-,-,-
Myanmar,427,"",5,5,-,10,-,7,-,-,-,3,148,2,-,7,-,-,-,3,-,-,-,-,-,-,-
Georgien,430,"",266,246,20,187,-,-,-,-,113,74,3.130,388,-,-,-,-,111,55,-,-,-,-,2,10,9
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Sri Lanka,431,"",24,19,5,34,-,16,-,1,15,2,880,162,-,15,-,-,14,2,-,1,-,1,1,-,-
Vietnam,432,"",53,51,2,12,-,-,-,1,3,8,934,69,-,-,-,-,3,7,-,-,-,1,-,-,1
Korea (Demokrat. Volksrepubl.),434,"",6,6,-,-,-,-,-,-,-,-,102,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Indien,436,"",113,111,2,37,-,-,-,-,25,12,3.136,82,-,-,-,-,25,9,-,-,-,-,-,2,1
Indonesien,437,"",-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Irak,438,"",2.544,2.454,90,1.228,6,972,29,4,7,210,12.869,1.884,6,847,16,2,7,196,-,125,13,2,-,6,8
"Iran, Islamische Republik",439,"",436,417,19,231,20,121,3,1,13,73,5.885,565,20,113,3,-,13,71,-,8,-,1,-,1,1
Israel,441,"",5,5,-,-,-,-,-,-,-,-,48,6,-,-,-,-,-,-,-,-,-,-,-,-,-
Kasachstan,444,"",-,-,-,-,-,-,-,-,-,-,120,24,-,-,-,-,-,-,-,-,-,-,-,-,-
Jordanien,445,"",18,16,2,9,-,5,-,-,1,3,191,29,-,5,-,-,1,1,-,-,-,-,-,-,2
Kambodscha,446,"",-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kuwait,448,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Laos, Demokratische Volksrepublik",449,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kirgisistan,450,"",8,8,-,-,-,-,-,-,-,-,93,18,-,-,-,-,-,-,-,-,-,-,-,-,-
Libanon,451,"",66,60,6,18,-,1,-,-,4,13,988,160,-,1,-,-,4,12,-,-,-,-,-,-,1
Oman,456,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mongolei,457,"",20,20,-,35,-,-,-,-,14,21,616,34,-,-,-,-,14,14,-,-,-,-,-,-,7
Nepal,458,"",-,-,-,1,-,-,-,1,-,-,21,1,-,-,-,-,-,-,-,-,-,1,-,-,-
Staatsangehörigkeit ohne Bezeichnung,459,"",31,31,-,11,-,8,-,-,-,3,280,2,-,8,-,-,-,3,-,-,-,-,-,-,-
Bangladesch,460,"",49,48,1,52,-,3,-,-,8,41,947,46,-,-,-,-,8,41,-,3,-,-,-,-,-
Pakistan,461,"",1.078,1.059,19,123,-,9,-,2,34,78,10.628,470,-,9,-,2,33,73,-,-,-,-,1,-,5
Philippinen,462,"",-,-,-,1,-,-,-,-,1,-,16,-,-,-,-,-,1,-,-,-,-,-,-,-,-
China (Taiwan),465,"",2,2,-,-,-,-,-,-,-,-,12,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Korea (Republik),467,"",-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tadschikistan,470,"",19,17,2,15,-,-,1,-,1,13,382,34,-,-,1,-,1,9,-,-,-,-,-,4,-
Turkmenistan,471,"",21,21,-,15,-,-,-,-,1,14,579,14,-,-,-,-,1,14,-,-,-,-,-,-,-
Saudi Arabien,472,"",-,-,-,1,-,1,-,-,-,-,4,-,-,1,-,-,-,-,-,-,-,-,-,-,-
"Syrien, Arabische Republik",475,"",16.838,16.544,294,6.126,51,6.003,-,10,1,61,43.978,1.825,47,5.683,-,10,1,55,4,320,-,-,-,-,6
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Thailand,476,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Usbekistan,477,"",-,-,-,2,1,-,-,-,1,-,31,2,1,-,-,-,1,-,-,-,-,-,-,-,-
China,479,"",50,48,2,12,-,2,-,-,7,3,1.009,64,-,2,-,-,7,3,-,-,-,-,-,-,-
Malaysia,482,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sonst. asiat. Staatsangeh.,499,"",409,402,7,230,1,217,-,2,3,7,2.336,180,1,196,-,2,3,6,-,21,-,-,-,1,-
Asien,"","",25.207,24.664,543,9.001,87,7.524,66,78,339,907,120.209,7.502,83,7.026,53,66,334,834,4,498,13,12,5,26,47
Staatenlos,997,"",436,426,10,154,-,149,-,1,-,4,1.877,72,-,136,-,1,-,4,-,13,-,-,-,-,-
Ungeklärt,998,"",730,703,27,267,-,237,1,-,10,19,4.594,321,-,224,1,-,10,19,-,13,-,-,-,-,-
ohne Angabe,999,"",3,3,-,-,-,-,-,-,-,-,37,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Unbekannt,"","",1.169,1.132,37,421,-,386,1,1,10,23,6.508,395,-,360,1,1,10,23,-,26,-,-,-,-,-
Herkunftsländer gesamt,"","",43.071,40.487,2.584,22.983,105,8.585,262,154,10.195,3.682,273.719,26.812,101,8.052,247,132,10.039,2.775,4,533,15,22,156,629,278
