Togo,283,31,31,-,46,-,1,-,3,28,14,758,38,-,1,-,3,28,13,-,-,-,-,-,1,-
Tschad,284,8,6,2,31,-,1,-,-,16,14,129,8,-,1,-,-,15,12,-,-,-,-,1,1,1
Tunesien,285,37,30,7,114,-,1,1,2,47,63,324,47,-,1,-,2,46,50,-,-,1,-,1,5,8
Uganda,286,7,6,1,3,-,-,-,-,-,3,264,10,-,-,-,-,-,3,-,-,-,-,-,-,-
Ägypten,287,86,77,9,332,5,36,8,8,197,78,1.401,78,5,32,8,8,197,56,-,4,-,-,-,14,8
Zentralafrikanische Republik,289,5,5,-,11,-,1,1,-,4,5,74,6,-,1,1,-,4,5,-,-,-,-,-,-,-
Burundi,291,3,2,1,4,1,1,1,-,-,1,43,1,1,1,1,-,-,1,-,-,-,-,-,-,-
sonst. afrik. Staatsangeh.,299,7,6,1,62,-,4,12,2,34,10,130,16,-,4,12,1,34,9,-,-,-,1,-,-,1
Afrika,"",4.362,4.178,184,12.697,55,2.016,1.276,703,4.255,4.392,76.560,2.536,55,2.004,1.272,670,4.213,4.130,-,12,4,33,42,120,142
Argentinien,323,-,-,-,1,-,-,-,1,-,-,1,3,-,-,-,1,-,-,-,-,-,-,-,-,-
Brasilien,327,-,-,-,-,-,-,-,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dominikanische Republik,335,-,-,-,3,-,-,-,-,3,-,7,-,-,-,-,-,3,-,-,-,-,-,-,-,-
Ecuador,336,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
El Salvador,337,1,1,-,2,-,-,-,-,2,-,19,-,-,-,-,-,2,-,-,-,-,-,-,-,-
Guatemala,345,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Haiti,346,1,1,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,347,5,5,-,3,-,-,-,-,-,3,8,-,-,-,-,-,-,3,-,-,-,-,-,-,-
Kanada,348,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kolumbien,349,2,2,-,-,-,-,-,-,-,-,64,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kuba,351,1,1,-,45,-,-,-,-,31,14,128,1,-,-,-,-,31,14,-,-,-,-,-,-,-
Mexico,353,-,-,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Nicaragua,354,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Jamaica,355,17,17,-,4,1,1,-,-,-,2,54,1,1,1,-,-,-,2,-,-,-,-,-,-,-
Paraguay,359,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peru,361,1,1,-,1,-,-,-,-,-,1,9,1,-,-,-,-,-,1,-,-,-,-,-,-,-
Suriname,364,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Uruguay,365,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Venezuela,367,5,5,-,11,-,3,-,1,3,4,60,-,-,3,-,1,3,3,-,-,-,-,-,1,-
Vereinigte Staaten v. Amerika,368,-,-,-,2,-,-,-,-,-,2,20,-,-,-,-,-,-,-,-,-,-,-,-,2,-
Trinidad und Tobago,371,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amerika,"",33,33,-,73,1,4,-,2,40,26,435,7,1,4,-,2,40,23,-,-,-,-,-,3,-
Jemen,421,25,25,-,146,11,10,110,1,-,14,551,27,11,10,105,-,-,14,-,-,5,1,-,-,-
Armenien,422,333,306,27,1.011,-,6,20,37,738,210,6.112,347,-,6,16,36,719,183,-,-,4,1,19,14,13
Afghanistan,423,1.576,1.492,84,15.616,21,2.575,944,3.317,7.748,1.011,76.264,1.183,21,2.563,942,3.304,7.704,920,-,12,2,13,44,54,37
Bahrain,424,-,-,-,11,3,4,1,-,-,3,12,-,3,4,1,-,-,3,-,-,-,-,-,-,-
Aserbaidschan,425,237,223,14,781,9,45,35,15,406,271,4.072,296,9,45,34,15,394,253,-,-,1,-,12,14,4
Bhutan,426,-,-,-,-,-,-,-,-,-,-,9,3,-,-,-,-,-,-,-,-,-,-,-,-,-
Myanmar,427,3,3,-,36,-,22,2,-,7,5,154,7,-,22,2,-,7,5,-,-,-,-,-,-,-
Georgien,430,204,188,16,609,-,2,2,11,343,251,2.527,298,-,2,2,8,335,196,-,-,-,3,8,40,15
