Herkunftsland, LS, ,ASYLANTRÄGE insgesamt, ASYLANTRÄGE davon Erstanträge, ASYLANTRÄGE davon Folgeanträge, ENTSCHEIDUNGEN über Asylanträge insgesamt, ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl), ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen, ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen, ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen, ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl), ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen), ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl), ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG, ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG, ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG, ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.), ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren, ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
Eritrea,224,"",620,612,8,313,1,215,12,2,3,80,16.105,108,1,210,12,-,3,75,-,5,-,2,-,1,4
Äthiopien,225,"",101,99,2,34,-,4,-,-,4,26,1.927,68,-,4,-,-,4,25,-,-,-,-,-,1,-
Botsuana,227,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Benin,229,"",42,42,-,15,-,-,-,-,3,12,327,5,-,-,-,-,3,12,-,-,-,-,-,-,-
Dschibuti,230,"",4,4,-,-,-,-,-,-,-,-,20,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Elfenbeinküste (Cote d Ivoire),231,"",35,35,-,39,-,1,-,-,3,35,275,19,-,1,-,-,3,33,-,-,-,-,-,1,1
Nigeria,232,"",591,579,12,95,1,5,-,4,13,72,6.450,176,1,4,-,4,13,69,-,1,-,-,-,1,2
Simbabwe,233,"",5,5,-,-,-,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gabun,236,"",-,-,-,-,-,-,-,-,-,-,5,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Gambia,237,"",218,203,15,25,-,1,-,-,2,22,2.462,79,-,1,-,-,2,20,-,-,-,-,-,-,2
Ghana,238,"",124,123,1,56,-,2,-,1,12,41,1.434,42,-,2,-,1,12,40,-,-,-,-,-,1,-
Mauretanien,239,"",11,11,-,10,-,-,-,-,-,10,64,2,-,-,-,-,-,7,-,-,-,-,-,-,3
Kenia,243,"",4,4,-,19,-,-,-,-,14,5,176,7,-,-,-,-,14,5,-,-,-,-,-,-,-
Komoren,244,"",-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kongo,245,"",3,3,-,-,-,-,-,-,-,-,101,5,-,-,-,-,-,-,-,-,-,-,-,-,-
"Kongo, Dem. Republik",246,"",14,14,-,13,1,1,1,2,8,-,478,31,1,1,1,2,8,-,-,-,-,-,-,-,-
Liberia,247,"",8,8,-,6,-,-,-,-,-,6,83,9,-,-,-,-,-,4,-,-,-,-,-,-,2
Libyen,248,"",45,44,1,35,1,1,-,-,1,32,919,36,1,-,-,-,1,31,-,1,-,-,-,-,1
Mali,251,"",59,54,5,24,-,1,-,-,6,17,667,18,-,1,-,-,6,16,-,-,-,-,-,-,1
Marokko,252,"",162,156,6,81,-,-,-,1,17,63,1.715,80,-,-,-,1,17,58,-,-,-,-,-,1,4
Mosambik,254,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Niger,255,"",17,17,-,5,-,-,-,-,1,4,109,13,-,-,-,-,1,3,-,-,-,-,-,-,1
Malawi,256,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sambia,257,"",1,1,-,1,-,-,-,-,-,1,6,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Burkina-Faso,258,"",8,7,1,8,-,-,-,-,2,6,180,7,-,-,-,-,2,5,-,-,-,-,-,-,1
Guinea-Bissau,259,"",41,37,4,28,-,-,-,-,3,25,320,10,-,-,-,-,3,21,-,-,-,-,-,-,4
Guinea,261,"",58,54,4,23,-,4,-,1,-,18,2.019,66,-,4,-,1,-,18,-,-,-,-,-,-,-
Kamerun,262,"",35,34,1,43,-,-,-,-,19,24,733,35,-,-,-,-,19,24,-,-,-,-,-,-,-
Südafrika,263,"",-,-,-,1,-,-,-,-,1,-,8,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Ruanda,265,"",2,2,-,7,1,1,-,-,1,4,50,-,1,1,-,-,1,4,-,-,-,-,-,-,-
Namibia,267,"",-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Senegal,269,"",135,133,2,10,-,-,-,-,2,8,1.607,16,-,-,-,-,2,8,-,-,-,-,-,-,-
Sierra Leone,272,"",22,20,2,2,-,1,-,-,-,1,458,38,-,1,-,-,-,1,-,-,-,-,-,-,-
Somalia,273,"",432,414,18,165,-,30,9,3,19,104,7.365,241,-,23,9,3,19,85,-,7,-,-,-,3,16
Äquatorialguinea,274,"",1,1,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sudan (ohne Südsudan),277,"",41,37,4,26,-,6,1,-,1,18,710,34,-,6,1,-,1,16,-,-,-,-,-,-,2
Südsudan,278,"",4,4,-,1,-,-,-,-,-,1,34,5,-,-,-,-,-,1,-,-,-,-,-,-,-
Swasiland,281,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tansania,282,"",-,-,-,1,-,-,-,-,1,-,72,2,-,-,-,-,1,-,-,-,-,-,-,-,-
Togo,283,"",12,9,3,2,-,-,-,-,1,1,218,27,-,-,-,-,1,1,-,-,-,-,-,-,-
Tschad,284,"",3,2,1,5,-,-,-,-,-,5,117,23,-,-,-,-,-,5,-,-,-,-,-,-,-
Tunesien,285,"",60,53,7,56,-,-,-,-,19,37,545,94,-,-,-,-,17,28,-,-,-,-,2,1,8
Uganda,286,"",4,4,-,2,-,-,-,-,-,2,137,9,-,-,-,-,-,2,-,-,-,-,-,-,-
Ägypten,287,"",77,68,9,74,13,6,-,1,23,31,2.795,50,13,6,-,1,23,28,-,-,-,-,-,3,-
Zentralafrikanische Republik,289,"",2,2,-,-,-,-,-,-,-,-,49,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Burundi,291,"",1,1,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sonst. afrik. Staatsangeh.,299,"",5,5,-,5,-,-,-,1,2,2,58,11,-,-,-,1,2,2,-,-,-,-,-,-,-
Afrika,"","",3.289,3.160,129,1.320,19,280,28,20,204,769,53.649,1.560,19,266,28,18,202,694,-,14,-,2,2,16,59
Argentinien,323,"",-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Brasilien,327,"",-,-,-,1,-,-,-,-,-,1,14,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Dominikanische Republik,335,"",-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ecuador,336,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
El Salvador,337,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Guatemala,345,"",-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,347,"",2,1,1,-,-,-,-,-,-,-,6,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Kolumbien,349,"",-,-,-,-,-,-,-,-,-,-,43,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Kuba,351,"",12,12,-,2,-,-,-,-,1,1,104,2,-,-,-,-,1,1,-,-,-,-,-,-,-
Mexico,353,"",3,3,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nicaragua,354,"",1,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jamaica,355,"",6,6,-,-,-,-,-,-,-,-,27,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Paraguay,359,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Peru,361,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Venezuela,367,"",8,7,1,-,-,-,-,-,-,-,23,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Vereinigte Staaten v. Amerika,368,"",-,-,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trinidad und Tobago,371,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amerika,"","",32,30,2,3,-,-,-,-,1,2,272,11,-,-,-,-,1,2,-,-,-,-,-,-,-
Jemen,421,"",40,36,4,10,-,-,4,-,-,6,289,28,-,-,4,-,-,6,-,-,-,-,-,-,-
Armenien,422,"",220,205,15,36,-,-,-,-,20,16,3.131,213,-,-,-,-,18,12,-,-,-,-,2,4,-
Afghanistan,423,"",1.188,1.151,37,493,-,135,16,56,43,243,15.869,777,-,115,16,47,43,225,-,20,-,9,-,2,16
Bahrain,424,"",1,1,-,-,-,-,-,-,-,-,21,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Aserbaidschan,425,"",190,177,13,32,6,2,2,-,16,6,2.068,221,6,2,2,-,15,5,-,-,-,-,1,1,-
Bhutan,426,"",-,-,-,-,-,-,-,-,-,-,16,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Myanmar,427,"",5,5,-,1,-,-,-,-,-,1,143,1,-,-,-,-,-,1,-,-,-,-,-,-,-
Georgien,430,"",269,229,40,230,-,-,-,-,129,101,2.673,329,-,-,-,-,125,59,-,-,-,-,4,5,37
Sri Lanka,431,"",23,17,6,14,-,3,-,-,9,2,846,147,-,2,-,-,9,2,-,1,-,-,-,-,-
Vietnam,432,"",50,48,2,25,-,-,-,-,5,20,785,59,-,-,-,-,5,18,-,-,-,-,-,1,1
Korea (Demokrat. Volksrepubl.),434,"",3,3,-,-,-,-,-,-,-,-,92,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Indien,436,"",138,136,2,40,-,-,-,-,20,20,2.637,72,-,-,-,-,20,15,-,-,-,-,-,4,1
Indonesien,437,"",-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Irak,438,"",1.471,1.382,89,1.086,5,915,14,2,4,146,8.059,2.420,5,542,7,2,3,136,-,373,7,-,1,2,8
"Iran, Islamische Republik",439,"",330,297,33,182,17,80,-,5,13,67,5.256,534,17,67,-,3,12,66,-,13,-,2,1,-,1
Israel,441,"",-,-,-,-,-,-,-,-,-,-,42,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Kasachstan,444,"",12,12,-,9,-,-,-,-,-,9,107,19,-,-,-,-,-,5,-,-,-,-,-,-,4
Jordanien,445,"",17,14,3,3,-,1,-,-,-,2,158,26,-,1,-,-,-,2,-,-,-,-,-,-,-
Kambodscha,446,"",-,-,-,-,-,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kuwait,448,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Laos, Demokratische Volksrepublik",449,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Kirgisistan,450,"",9,5,4,3,-,-,-,-,-,3,90,25,-,-,-,-,-,3,-,-,-,-,-,-,-
Libanon,451,"",46,43,3,58,-,1,-,3,15,39,853,129,-,1,-,3,14,37,-,-,-,-,1,-,2
Oman,456,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Mongolei,457,"",34,32,2,6,-,-,-,-,-,6,607,24,-,-,-,-,-,4,-,-,-,-,-,-,2
Nepal,458,"",2,2,-,-,-,-,-,-,-,-,28,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Staatsangehörigkeit ohne Bezeichnung,459,"",17,17,-,9,-,3,-,-,4,2,188,1,-,2,-,-,4,2,-,1,-,-,-,-,-
Bangladesch,460,"",69,68,1,45,-,3,1,1,22,18,884,39,-,3,1,-,22,17,-,-,-,1,-,1,-
Pakistan,461,"",452,431,21,136,1,14,-,5,26,90,7.932,393,1,14,-,3,26,78,-,-,-,2,-,5,7
Philippinen,462,"",1,1,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-
China (Taiwan),465,"",-,-,-,-,-,-,-,-,-,-,8,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Korea (Republik),467,"",-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tadschikistan,470,"",26,24,2,21,1,-,-,-,3,17,321,39,1,-,-,-,3,16,-,-,-,-,-,-,1
Turkmenistan,471,"",36,36,-,4,-,-,-,-,4,-,533,4,-,-,-,-,4,-,-,-,-,-,-,-,-
Saudi Arabien,472,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Syrien, Arabische Republik",475,"",5.100,4.810,290,4.527,98,3.711,6,13,4,695,21.837,1.537,95,3.414,6,7,4,691,3,297,-,6,-,1,3
Thailand,476,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Usbekistan,477,"",2,2,-,1,-,-,-,-,1,-,27,1,-,-,-,-,1,-,-,-,-,-,-,-,-
China,479,"",45,42,3,9,-,4,-,-,4,1,816,51,-,4,-,-,3,1,-,-,-,-,1,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Malaysia,482,"",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sonst. asiat. Staatsangeh.,499,"",187,173,14,175,5,120,1,-,17,32,1.554,155,5,104,1,-,17,32,-,16,-,-,-,-,-
Asien,"","",9.983,9.399,584,7.155,133,4.992,44,85,359,1.542,77.929,7.260,130,4.271,37,65,348,1.433,3,721,7,20,11,26,83
Australien,523,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Salomonen,524,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Australien,"","",-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Staatenlos,997,"",150,135,15,173,-,122,-,-,10,41,1.020,90,-,117,-,-,10,41,-,5,-,-,-,-,-
Ungeklärt,998,"",497,460,37,211,3,117,-,2,27,62,3.032,239,3,110,-,-,27,58,-,7,-,2,-,4,-
ohne Angabe,999,"",3,3,-,1,-,-,-,-,-,1,24,1,-,-,-,-,-,1,-,-,-,-,-,-,-
Unbekannt,"","",650,598,52,385,3,239,-,2,37,104,4.076,330,3,227,-,-,37,100,-,12,-,2,-,4,-
Herkunftsländer gesamt,"","",25.992,23.758,2.234,16.784,155,5.532,84,131,6.354,4.528,198.638,22.318,152,4.782,77,103,6.043,3.326,3,750,7,28,311,760,442
