Herkunftsland,LS,,ASYLANTRÄGE insgesamt,ASYLANTRÄGE davon Erstanträge,ASYLANTRÄGE davon Folgeanträge,ENTSCHEIDUNGEN über Asylanträge insgesamt,ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN über Asylanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Asylanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Asylanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Asylanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Asylanträge sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstanträgen,ANHÄNGIGE VERFAHREN aufgrund von Folgeanträgen,ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Erstanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Erstanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Erstanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Erstanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Erstanträge formelle Verfahrenserledigungen (z.B. Rücknahmen),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN über Folgeanträge Anerkennungen als Flüchtling gem. § 3 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Gewährung von subsidiärem Schutz gem. § 4 I AsylG,ENTSCHEIDUNGEN über Folgeanträge Feststellung eines Abschiebungsverbotes gem. § 60 V/VII AufenthG,ENTSCHEIDUNGEN über Folgeanträge Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN über Folgeanträge kein weiteres Verfahren,ENTSCHEIDUNGEN über Folgeanträge formelle Verfahrenserledigungen (z.B. Rücknahmen)
Kosovo,150,"",3.630,3.034,596,638,-,-,-,2,246,390,8.094,2.135,-,-,-,2,231,303,-,-,-,-,15,47,40
Polen,152,"",-,-,-,-,-,-,-,-,-,-,20,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Portugal,153,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Rumänien,154,"",-,-,-,-,-,-,-,-,-,-,6,3,-,-,-,-,-,-,-,-,-,-,-,-,-
Schweden,157,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Schweiz,158,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Russische Föderation,160,"",471,399,72,453,1,26,9,8,78,331,5.288,789,1,25,9,5,76,210,-,1,-,3,2,29,92
Spanien,161,"",-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Türkei,163,"",185,165,20,106,2,6,3,2,43,50,2.341,336,2,4,2,2,38,42,-,2,1,-,5,7,1
Tschechische Republik,164,"",1,1,-,-,-,-,-,-,-,-,11,5,-,-,-,-,-,-,-,-,-,-,-,-,-
Ungarn,165,"",1,1,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ukraine,166,"",265,262,3,90,-,13,-,-,1,76,2.710,48,-,13,-,-,1,76,-,-,-,-,-,-,-
Spalte 1,"","",2,3,4,5,6,7,8a,8b,9,10,11,12,14,15,16a,16b,17,18,19,20,21a,21b,22,23,24
Weißrußland,169,"",17,17,-,5,-,1,-,-,-,4,128,11,-,1,-,-,-,3,-,-,-,-,-,-,1
Serbien,170,"",3.328,2.042,1.286,3.392,-,-,-,1,2.148,1.243,7.958,4.610,-,-,-,1,1.969,124,-,-,-,-,179,1.038,81
Zypern,181,"",-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sonst. europ. Staatsangeh.,199,"",9,6,3,1,-,-,-,-,1,-,31,5,-,-,-,-,1,-,-,-,-,-,-,-,-
Europa,"","",11.336,8.639,2.697,6.973,3,48,12,19,4.032,2.859,39.311,11.209,3,45,11,13,3.681,936,-,3,1,6,351,1.634,289
Algerien,221,"",153,139,14,110,-,1,-,-,41,68,2.121,127,-,1,-,-,40,61,-,-,-,-,1,3,4
Angola,223,"",5,3,2,5,-,-,-,1,1,3,175,8,-,-,-,1,1,3,-,-,-,-,-,-,-
Eritrea,224,"",626,620,6,313,-,179,45,3,4,82,15.535,62,-,179,45,1,4,80,-,-,-,2,-,-,2
Äthiopien,225,"",118,113,5,28,-,10,1,-,7,10,1.678,50,-,10,1,-,7,9,-,-,-,-,-,-,1
Lesotho,226,"",1,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Botsuana,227,"",-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Benin,229,"",21,21,-,6,-,-,-,1,1,4,253,6,-,-,-,-,1,4,-,-,-,1,-,-,-
Dschibuti,230,"",2,2,-,-,-,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Elfenbeinküste (Cote d Ivoire),231,"",20,20,-,19,-,-,-,-,7,12,234,13,-,-,-,-,7,9,-,-,-,-,-,-,3
Nigeria,232,"",461,455,6,119,1,1,-,2,10,105,5.229,83,1,1,-,1,10,105,-,-,-,1,-,-,-
Simbabwe,233,"",-,-,-,1,-,-,-,-,1,-,30,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Gabun,236,"",-,-,-,1,-,-,-,-,1,-,4,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Gambia,237,"",215,212,3,66,-,-,-,1,9,56,2.068,36,-,-,-,1,9,56,-,-,-,-,-,-,-
Ghana,238,"",74,69,5,70,-,-,-,1,8,61,1.203,35,-,-,-,1,7,58,-,-,-,-,1,1,2
